Time [sec],Altitude True [m],Velocity True [m/s],Ballistic Coefficient True [],Range True [m],Range measurement [m],
35.1703,4653.49,-181.975,0.001,5011.99,5018.91,
35.2705,4635.27,-181.691,0.001,5013.29,4972.53,
35.3707,4617.08,-181.409,0.001,5014.64,5054.56,
35.4709,4598.91,-181.128,0.001,5016.06,5104.59,
35.5711,4580.78,-180.849,0.001,5017.54,5070.29,
35.6713,4562.67,-180.571,0.001,5019.09,4933.55,
35.7715,4544.59,-180.294,0.001,5020.7,4997.69,
35.8717,4526.54,-180.019,0.001,5022.37,5047.95,
35.9719,4508.51,-179.745,0.001,5024.1,5042.98,
36.0721,4490.52,-179.473,0.001,5025.89,5022.14,
36.1723,4472.55,-179.202,0.001,5027.74,5020.52,
36.2725,4454.61,-178.933,0.001,5029.66,4981.8,
36.3727,4436.69,-178.665,0.001,5031.63,5066.75,
36.4729,4418.8,-178.398,0.001,5033.67,4943.33,
36.5731,4400.94,-178.132,0.001,5035.76,5015.24,
36.6733,4383.1,-177.868,0.001,5037.91,4987.9,
36.7735,4365.29,-177.605,0.001,5040.12,4997.76,
36.8737,4347.51,-177.344,0.001,5042.39,5113.88,
36.9739,4329.75,-177.084,0.001,5044.72,5006.17,
37.0741,4312.02,-176.825,0.001,5047.11,5002.06,
37.1743,4294.32,-176.567,0.001,5049.55,5060.78,
37.2745,4276.64,-176.311,0.001,5052.05,5074.25,
37.3747,4258.99,-176.056,0.001,5054.61,5154.86,
37.4749,4241.36,-175.802,0.001,5057.23,5033.3,
37.5752,4223.75,-175.55,0.001,5059.9,4954.22,
37.6754,4206.18,-175.298,0.001,5062.62,5091.8,
37.7756,4188.62,-175.048,0.001,5065.41,5129.51,
37.8758,4171.1,-174.799,0.001,5068.24,5049.13,
37.976,4153.59,-174.552,0.001,5071.13,5102.64,
38.0762,4136.12,-174.305,0.001,5074.08,5148.86,
38.1764,4118.66,-174.06,0.001,5077.08,5087.3,
38.2766,4101.23,-173.816,0.001,5080.14,5111.76,
38.3768,4083.83,-173.573,0.001,5083.24,5081.21,
38.477,4066.45,-173.331,0.001,5086.4,5100.19,
38.5772,4049.09,-173.091,0.001,5089.62,5134.84,
38.6774,4031.76,-172.851,0.001,5092.89,5091.08,
38.7776,4014.45,-172.613,0.001,5096.2,5060.74,
38.8778,3997.17,-172.376,0.001,5099.58,5072.96,
38.978,3979.91,-172.14,0.001,5103,5077.89,
39.0782,3962.67,-171.905,0.001,5106.47,5148.64,
39.1784,3945.46,-171.671,0.001,5110,5079.16,
39.2786,3928.27,-171.439,0.001,5113.57,5170.13,
39.3788,3911.1,-171.207,0.001,5117.2,5156.89,
39.479,3893.96,-170.976,0.001,5120.87,5081.47,
39.5792,3876.84,-170.747,0.001,5124.6,5110.74,
39.6794,3859.74,-170.519,0.001,5128.37,5129.77,
39.7796,3842.67,-170.291,0.001,5132.19,5229.31,
39.8798,3825.62,-170.065,0.001,5136.07,5061.21,
39.98,3808.59,-169.84,0.001,5139.99,5118.44,
40.0802,3791.58,-169.616,0.001,5143.96,5098.97,
40.1804,3774.6,-169.392,0.001,5147.97,5175.62,
40.2806,3757.63,-169.17,0.001,5152.04,5160.56,
40.3808,3740.69,-168.949,0.001,5156.15,5148.55,
40.481,3723.78,-168.729,0.001,5160.3,5107.04,
40.5812,3706.88,-168.51,0.001,5164.51,5178.79,
40.6814,3690.01,-168.292,0.001,5168.76,5222.23,
40.7816,3673.15,-168.075,0.001,5173.06,5148.16,
40.8818,3656.32,-167.859,0.001,5177.4,5199.68,
40.982,3639.52,-167.643,0.001,5181.79,5238.35,
41.0822,3622.73,-167.429,0.001,5186.22,5185.71,
41.1824,3605.96,-167.216,0.001,5190.7,5126.57,
41.2826,3589.22,-167.004,0.001,5195.22,5182.7,
41.3828,3572.5,-166.792,0.001,5199.79,5212.14,
41.483,3555.79,-166.582,0.001,5204.4,5121.26,
41.5832,3539.11,-166.372,0.001,5209.05,5188.99,
41.6834,3522.45,-166.164,0.001,5213.75,5242.95,
41.7836,3505.81,-165.956,0.001,5218.49,5265.21,
41.8838,3489.19,-165.749,0.001,5223.27,5194.06,
41.984,3472.6,-165.543,0.001,5228.09,5207.55,
42.0842,3456.02,-165.338,0.001,5232.96,5164.73,
42.1844,3439.46,-165.134,0.001,5237.87,5233.77,
42.2846,3422.93,-164.931,0.001,5242.82,5180.13,
42.3848,3406.41,-164.729,0.001,5247.81,5294.37,
